triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0010000_0000_011,y,0,799.797µs,504.872µs,2.318555ms,3.623224ms
0010100_011111_1,y,0,855.969µs,485.186µs,2.219076ms,3.560231ms
00111011_011_000,y,0,843.191µs,548.818µs,3.2606ms,4.652609ms
011000000_0111_1,y,0,801.813µs,590.24µs,2.6032ms,3.995253ms
011000_0111_0100,y,0,901.355µs,822.376µs,5.221587ms,6.945318ms
01110111011_00_1,y,0,827.126µs,454.856µs,1.698559ms,2.980541ms
01000000_1111_00,y,0,752.903µs,419.507µs,1.31671ms,2.48912ms
0010000_01111_11,y,0,772.728µs,354.956µs,1.518074ms,2.645758ms
01110011011_00_1,y,0,870.607µs,596.283µs,3.642075ms,5.108965ms
001100000_0000_1,y,0,776.903µs,564.605µs,2.338349ms,3.679857ms
0110111_01000_00,y,0,902.624µs,520.998µs,3.045476ms,4.469098ms
1101011_01111_00,y,0,818.692µs,544.566µs,3.225854ms,4.589112ms
011111_00111_000,y,0,805.806µs,521.895µs,2.263007ms,3.590708ms
0101111_000000_1,y,0,756.256µs,544.983µs,1.691655ms,2.992894ms
001000000_000_11,y,0,757.866µs,447.107µs,1.535261ms,2.740234ms
0110111_0111_000,y,0,827.584µs,564.063µs,2.712105ms,4.103752ms
01001111_00000_1,y,0,774.783µs,543.386µs,2.220934ms,3.539103ms
010000_11011_000,y,0,787.049µs,436.763µs,1.749561ms,2.973373ms
001000_010000_11,y,0,795.337µs,483.274µs,2.331536ms,3.610147ms
01001111_011_000,y,0,822.727µs,790.298µs,3.992854ms,5.605879ms
010000_10111_000,y,0,814.628µs,408.215µs,1.840998ms,3.063841ms
001110111_000_11,y,0,793.623µs,512.944µs,2.188716ms,3.495283ms
0010111_0111_000,y,0,852.695µs,668.697µs,3.535871ms,5.057263ms
0100000100_000_1,y,0,795.984µs,390.84µs,1.757831ms,2.944655ms
010000_00100_011,y,0,882.59µs,638.29µs,3.749321ms,5.270201ms
1100111_01111_00,y,0,802.863µs,586.4µs,2.793167ms,4.18243ms
00100000_01000_1,y,0,824.096µs,532.75µs,2.152582ms,3.509428ms
01000000_0000_11,y,0,743.485µs,449.688µs,1.572811ms,2.765984ms
