triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010010111_0111_1011,y,0,8.854457ms,98.864787ms,179.539233316s,179.64695256s
010110111_0001000_1,y,0,9.781952ms,141.207891ms,192.888100855s,193.039090698s
01101111_11011_0000,y,0,9.130744ms,149.626187ms,197.384017844s,197.542774775s
00010000_10111_0111,y,0,9.404102ms,151.72911ms,186.245791384s,186.406924596s
010111011_0111_1000,y,0,10.076718ms,109.174058ms,200.576200011s,200.695450787s
00010100_0100000_11,y,0,9.696554ms,133.266146ms,185.557552331s,185.700515031s
000100000_0011111_1,y,0,9.810418ms,159.979626ms,197.455424871s,197.625214915s
011000100_0101111_1,y,0,9.490306ms,112.605496ms,203.179024439s,203.301120241s
111010111_010000_00,y,0,9.937854ms,147.48431ms,198.450083434s,198.607505598s
01111111_00101000_1,y,0,9.620121ms,153.76508ms,184.494544639s,184.65792984s
00111111_00001000_1,y,0,9.226731ms,159.817604ms,199.784282192s,199.953326527s
0100100000_001111_1,y,0,9.747511ms,140.786897ms,189.183964172s,189.33449858s
001111_001000_01000,y,0,9.971614ms,113.072587ms,192.429094916s,192.552139117s
1100011111_01000_00,y,0,10.219823ms,146.374799ms,224.864855281s,225.021449903s
001110111_000100_11,y,0,10.07684ms,133.585083ms,192.085538482s,192.229200405s
1010010000_0111_000,y,0,9.718913ms,126.76636ms,190.408872467s,190.54535774s
010101000_101111_00,y,0,9.147114ms,122.524536ms,184.424052172s,184.555723822s
0101101111_00000_11,y,0,10.601401ms,148.888106ms,193.505171999s,193.664661506s
01100111_00111011_1,y,0,9.035785ms,109.694867ms,195.323792752s,195.442523404s
01110100111_00100_1,y,0,10.936437ms,119.008772ms,202.661440418s,202.791385627s
011101011111_000_11,y,0,9.26305ms,158.29555ms,201.688293308s,201.855851908s
1011100111_01111_00,y,0,11.30599ms,132.268789ms,210.075206912s,210.218781691s
000111111_0000000_1,y,0,9.445231ms,161.069236ms,223.23931241s,223.409826877s
01010100111_0100_11,y,0,9.664114ms,106.295372ms,185.166979477s,185.282938963s
0001001111_011011_1,y,0,9.357893ms,122.363405ms,188.424733831s,188.556455129s
01111111_01010100_1,y,0,11.347568ms,127.546583ms,193.61745726s,193.756351411s
00100000_101111_000,y,0,9.75763ms,160.619285ms,190.758793985s,190.9291709s
11101011_010000_000,y,0,9.162751ms,137.851183ms,195.867454931s,196.014468865s
101101000_010111_00,y,0,8.926806ms,102.26173ms,178.449678133s,178.560866669s
1011111_010000_0111,y,0,9.70342ms,160.887007ms,196.084522427s,196.255112854s
0111111_10111_00000,y,0,9.967782ms,165.188257ms,197.37544021s,197.550596249s
0011010111_000000_1,y,0,9.652793ms,135.233118ms,190.356210374s,190.501096285s
01010000_011111_111,y,0,10.380064ms,140.755788ms,184.996987459s,185.148123311s
01110111111_0000_11,y,0,9.771969ms,179.292969ms,213.200620821s,213.389685759s
0011000_11111_00100,y,0,9.050724ms,133.627535ms,200.154223482s,200.296901741s
0010111_011011_0000,y,0,9.507938ms,115.554836ms,180.792950675s,180.918013449s
100000000_0111_0000,y,0,11.651357ms,163.989114ms,230.528127693s,230.703768164s
00111100111_00000_1,y,0,10.097575ms,138.453838ms,213.285883617s,213.43443503s
011100111_010000_00,y,0,10.155804ms,129.966235ms,199.278627111s,199.41874915s
0010100100_011111_1,y,0,9.421752ms,130.71465ms,179.162548093s,179.302684495s
01000100000_1111_00,y,0,8.71789ms,167.535964ms,190.258693918s,190.434947772s
01001111_0111011_00,y,0,9.157706ms,114.673824ms,190.590346779s,190.714178309s
0111011011_00000_11,y,0,10.296789ms,153.003602ms,204.441525158s,204.604825549s
000101000_1011_0000,y,0,10.629143ms,136.796016ms,201.051012376s,201.198437535s
0101010110111_11_00,y,0,9.496188ms,102.277102ms,168.845780265s,168.957553555s
0111111_101011_0100,y,0,8.985235ms,119.432424ms,180.660390059s,180.788807718s
01111111_010000_000,y,0,10.787706ms,158.804776ms,205.678434893s,205.848027375s
