triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
01110111_000_11,y,0,3.860913ms,32.199592ms,22.455796154s,22.491856659s
011111_01000_00,y,0,3.966732ms,29.26957ms,20.060213223s,20.093449525s
010000_01111_00,y,0,4.22812ms,31.443281ms,20.712798089s,20.74846949s
01011000_0111_1,y,0,3.666824ms,21.189315ms,20.616441832s,20.641297971s
010111_000100_1,y,0,3.734051ms,26.162286ms,21.699178526s,21.729074863s
011111_001111_1,y,0,3.734118ms,30.198086ms,25.210475797s,25.244408001s
010100_01111_11,y,0,3.700515ms,24.924592ms,20.894240374s,20.922865481s
011011111_000_1,y,0,3.737527ms,35.957126ms,25.099557462s,25.139252115s
00010000_0111_1,y,0,3.936292ms,35.630571ms,24.626467011s,24.666033874s
011111111_11_00,y,0,3.729567ms,35.547281ms,27.586054967s,27.625331815s
00110000_0111_1,y,0,3.671321ms,27.588744ms,25.434709255s,25.46596932s
01010000_0100_1,y,0,3.812496ms,24.091728ms,21.918109509s,21.946013733s
0111011000_00_1,y,0,3.732388ms,26.030158ms,21.078884855s,21.108647401s
011011_000000_1,y,0,3.722822ms,31.380167ms,22.679802411s,22.7149054s
00100_01000_111,y,0,3.700477ms,28.514311ms,23.964671449s,23.996886237s
0100000_00100_1,y,0,3.653154ms,27.881347ms,24.281946068s,24.313480569s
0111111_111_000,y,0,3.906707ms,37.418487ms,27.724871151s,27.766196345s
0101000_1011_00,y,0,3.636003ms,23.145358ms,22.675524178s,22.702305539s
0101000_1111_00,y,0,3.788716ms,30.215739ms,20.007524319s,20.041528774s
1010111_0111_00,y,0,3.828405ms,26.459281ms,20.04657085s,20.076858536s
0010000_011_000,y,0,3.982771ms,27.726775ms,20.164471652s,20.196181198s
001000_0111_000,y,0,3.967782ms,28.58082ms,19.341652668s,19.37420127s
010110000_11_00,y,0,3.830318ms,27.18657ms,20.621740287s,20.652757175s
01101011_0000_1,y,0,3.792671ms,26.077552ms,19.425836753s,19.455706976s
000100_010000_1,y,0,3.805055ms,27.479232ms,21.112682574s,21.143966861s
01100111_0100_1,y,0,3.941094ms,25.355046ms,20.429680344s,20.458976484s
0100010100_00_1,y,0,3.644677ms,23.117955ms,18.231709488s,18.25847212s
011000_0111_000,y,0,4.126087ms,27.65847ms,20.942462231s,20.974246788s
010000100_11_00,y,0,3.633471ms,29.223934ms,20.211934966s,20.244792371s
01011011_0100_1,y,0,3.760732ms,20.879326ms,17.389194207s,17.413834265s
0110111_00100_1,y,0,3.855796ms,27.706796ms,20.228963406s,20.260525998s
010000_01111_11,y,0,3.904954ms,32.235526ms,22.222658875s,22.258799355s
01000100_000_11,y,0,3.73738ms,28.436662ms,21.437149736s,21.469323778s
011011011_11_00,y,0,3.899084ms,27.153515ms,20.872550307s,20.903602906s
011101011_11_00,y,0,3.82967ms,26.245282ms,21.358132979s,21.388207931s
0101110111_00_1,y,0,3.808974ms,28.159249ms,20.093286469s,20.125254692s
011111011_11_00,y,0,3.721702ms,30.62113ms,21.275176821s,21.309519653s
001111_0111_000,y,0,3.941949ms,29.190908ms,22.691335338s,22.724468195s
01000_0111_1011,y,0,3.768842ms,26.033272ms,21.231470538s,21.261272652s
001111_000100_1,y,0,3.841585ms,31.02098ms,24.825757487s,24.860620052s
010111_0000_011,y,0,4.015245ms,26.152121ms,21.161228342s,21.191395708s
0101101011_00_1,y,0,3.862443ms,20.802648ms,18.629168022s,18.653833113s
0111101111_00_1,y,0,3.779427ms,32.743091ms,23.642027014s,23.678549532s
00100000_0111_1,y,0,3.67772ms,33.833355ms,20.045646835s,20.08315791s
001111_1011_000,y,0,3.907018ms,30.838229ms,22.154548903s,22.18929415s
0100000_0000_11,y,0,3.844408ms,33.988153ms,22.223130059s,22.26096262s
01111_11011_000,y,0,3.899798ms,31.814792ms,21.431873234s,21.467587824s
0110010111_00_1,y,0,3.768532ms,23.4535ms,19.554167695s,19.581389727s
011011_10000_00,y,0,3.827045ms,26.453727ms,20.600035938s,20.63031671s
001111_0000_011,y,0,4.271041ms,29.366036ms,22.034703534s,22.068340611s
1001111_0111_00,y,0,3.905347ms,28.25159ms,22.846618521s,22.878775458s
010000100_000_1,y,0,3.732298ms,28.207304ms,20.626429575s,20.658369177s
01111_1011_0000,y,0,4.029527ms,33.105752ms,21.447004502s,21.484139781s
0110111011_00_1,y,0,3.64413ms,25.667792ms,19.082845303s,19.112157225s
0111011_0000_11,y,0,3.943663ms,31.057876ms,21.461398009s,21.496399548s
0011000_00100_1,y,0,3.825123ms,24.807826ms,21.625979159s,21.654612108s
0011000_01111_1,y,0,3.93423ms,28.847017ms,23.404870931s,23.437652178s
011111011_000_1,y,0,3.745721ms,31.897627ms,20.93435357s,20.969996918s
0111001111_00_1,y,0,4.001252ms,28.256868ms,24.061918475s,24.094176595s
000100_001000_1,y,0,4.01943ms,30.156545ms,23.253699662s,23.287875637s
01001111_0000_1,y,0,3.825719ms,30.870605ms,22.672652764s,22.707349088s
00010100_0111_1,y,0,3.821919ms,27.553239ms,20.975954557s,21.007329715s
010000_11111_00,y,0,3.785002ms,34.86067ms,22.349469124s,22.388114796s
01110111_111_00,y,0,3.774219ms,30.150184ms,22.898325387s,22.93224979s
0100111_011_000,y,0,3.930339ms,23.762989ms,19.145778197s,19.173471525s
010010100_11_00,y,0,3.841598ms,23.357723ms,18.538233937s,18.565433258s
111011_01000_00,y,0,4.025438ms,30.254015ms,21.833221549s,21.867501002s
01000000_0111_1,y,0,3.742598ms,32.029521ms,22.743576102s,22.779348221s
01011111_0000_1,y,0,3.968669ms,34.2037ms,23.625175011s,23.66334738s
1010000_0111_00,y,0,3.841596ms,27.191417ms,21.208460147s,21.23949316s
01011011_011_00,y,0,3.956738ms,20.222399ms,16.819962584s,16.844141721s
0101011011_00_1,y,0,3.873333ms,20.894105ms,17.938508486s,17.963275924s
001100000_000_1,y,0,3.847229ms,28.967398ms,23.369329467s,23.402144094s
00111111_000_11,y,0,3.703152ms,32.854517ms,23.527014804s,23.563572473s
0011111_011_000,y,0,4.007472ms,28.486043ms,21.777019968s,21.809513483s
1011111_0111_00,y,0,3.736668ms,30.651673ms,21.186931015s,21.221319356s
0100110000_00_1,y,0,3.921426ms,26.350149ms,21.623413357s,21.653684932s
011011011_000_1,y,0,3.739173ms,26.711759ms,19.572724371s,19.603175303s
00111111_0000_1,y,0,4.29409ms,38.667618ms,25.129993824s,25.172955532s
011111111_000_1,y,0,4.035739ms,42.390733ms,23.786036672s,23.832463144s
010111011_000_1,y,0,3.841894ms,27.692469ms,19.881331603s,19.912865966s
001000_01000_11,y,0,3.658753ms,27.43178ms,19.713856409s,19.744946942s
01101111_0100_1,y,0,3.891795ms,27.145997ms,20.095943904s,20.126981696s
0101001000_00_1,y,0,3.69086ms,25.346732ms,19.384734603s,19.413772195s
0110111_0100_11,y,0,3.74158ms,25.987345ms,19.383454738s,19.413183663s
01101011_0100_1,y,0,3.651251ms,19.666986ms,18.224884453s,18.24820269s
0100010000_00_1,y,0,3.817188ms,30.403962ms,19.676691238s,19.710912388s
111111_01000_00,y,0,4.002405ms,36.883194ms,23.104407922s,23.145293521s
01110000_0000_1,y,0,4.023368ms,31.672102ms,24.036018952s,24.071714422s
0111111_1011_00,y,0,4.085597ms,34.376268ms,21.896940425s,21.93540229s
01111011_111_00,y,0,3.907693ms,32.024187ms,22.845729825s,22.881661705s
0010000_111_000,y,0,4.047567ms,36.141092ms,23.485987555s,23.526176214s
0101111_00100_1,y,0,3.906391ms,27.595238ms,19.584684124s,19.616185753s
0001000_01111_1,y,0,3.770584ms,32.697252ms,20.412377603s,20.448845439s
0010000_01000_1,y,0,3.785526ms,28.044354ms,20.416989742s,20.448819622s
0110011111_00_1,y,0,3.87064ms,29.22207ms,23.093815256s,23.126907966s
010101000_11_00,y,0,3.825895ms,23.278036ms,18.711009439s,18.73811337s
0111111_00000_1,y,0,4.085209ms,40.142018ms,23.540407075s,23.584634302s
